2026-04-17 21:34:59 | collector.yc         | ERROR    | [error][FAIL][/error] Failed to search YC for 'Webflow': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Webflow
2026-04-17 21:35:00 | collector.yc         | ERROR    | [error][FAIL][/error] Failed to search YC for 'Supabase': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Supabase
2026-04-17 21:35:01 | collector.yc         | ERROR    | [error][FAIL][/error] Failed to search YC for 'Plaid': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Plaid
2026-04-17 21:35:02 | collector.yc         | ERROR    | [error][FAIL][/error] Failed to search YC for 'Intercom': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Intercom
2026-04-17 21:35:03 | collector.yc         | ERROR    | [error][FAIL][/error] Failed to search YC for 'Zapier': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Zapier
2026-04-17 21:35:04 | collector.yc         | ERROR    | [error][FAIL][/error] Failed to search YC for 'Typeform': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Typeform
2026-04-17 21:35:05 | collector.yc         | ERROR    | [error][FAIL][/error] Failed to search YC for 'PostHog': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=PostHog
2026-04-17 21:35:06 | collector.yc         | ERROR    | [error][FAIL][/error] Failed to search YC for 'Deel': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Deel
2026-04-17 21:35:06 | collector.yc         | INFO     | [stage]>> YC COLLECTOR[/stage] -- Done — 0 companies collected
2026-04-17 21:36:20 | pipeline             | INFO     | [stage]>> STEP 1[/stage] -- Loading targets
2026-04-17 21:36:20 | pipeline             | INFO     | Loaded 20 targets from startup_targets.json
2026-04-17 21:36:20 | pipeline             | INFO     | [stage]>> STEP 2[/stage] -- Running collectors
2026-04-17 21:36:20 | collector.yc         | INFO     | [stage]>> YC COLLECTOR[/stage] -- Starting collection
2026-04-17 21:36:26 | collector.yc         | INFO     | [success][OK][/success] Found YC company in seed: Stripe
2026-04-17 21:36:29 | collector.yc         | INFO     | [success][OK][/success] Found YC company in seed: Loom
2026-04-17 21:36:30 | collector.yc         | INFO     | [success][OK][/success] Found YC company in seed: Retool
2026-04-17 21:36:30 | collector.yc         | INFO     | [success][OK][/success] Found YC company in seed: Webflow
2026-04-17 21:36:30 | collector.yc         | INFO     | [success][OK][/success] Found YC company in seed: Supabase
2026-04-17 21:36:33 | collector.yc         | INFO     | [success][OK][/success] Found YC company in seed: Zapier
2026-04-17 21:36:34 | collector.yc         | INFO     | [success][OK][/success] Found YC company in seed: PostHog
2026-04-17 21:36:34 | collector.yc         | INFO     | [success][OK][/success] Found YC company in seed: Deel
2026-04-17 21:36:34 | collector.yc         | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\yc\Stripe.json
2026-04-17 21:36:34 | collector.yc         | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\yc\Loom.json
2026-04-17 21:36:34 | collector.yc         | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\yc\Retool.json
